FID,lon,lat
504,113.85584,22.7948
505,113.85613,22.7947
506,113.85332,22.79531
507,113.85332,22.7955
508,113.85606,22.79527
509,113.8518,22.79569
510,113.85143,22.79596
511,113.85138,22.79567
512,113.8522,22.79542
513,113.85225,22.79571
514,113.85298,22.79556
515,113.85296,22.79528
516,113.85214,22.79681
517,113.85349,22.79595
518,113.85349,22.79515
519,113.85465,22.79495
520,113.85349,22.79536
521,113.85761,22.7959
522,113.85891,22.79677
523,113.85888,22.79381
524,113.85732,22.7906
525,113.85598,22.78894
526,113.85742,22.78818
527,113.8577,22.78854
528,113.8582,22.78859
529,113.85786,22.78893
530,113.85998,22.79029
531,113.85945,22.78894
532,113.85041,22.79664
533,113.86276,22.79437
534,113.86166,22.79453
535,113.86103,22.79484
536,113.8608,22.79559
537,113.86124,22.79379
538,113.86039,22.7941
539,113.86095,22.79452
540,113.8606,22.79471
541,113.86236,22.78922
542,113.87416,22.79509
543,113.87598,22.7956
544,113.87731,22.7976
545,113.87864,22.79717
546,113.80223,22.7786
547,113.80127,22.78209
548,113.80366,22.7789
549,113.81372,22.78113
550,113.80691,22.7812
551,113.80413,22.78266
552,113.81483,22.78285
553,113.81678,22.78268
554,113.81573,22.78217
555,113.8166,22.77879
556,113.81613,22.78042
557,113.81893,22.78131
558,113.81976,22.77984
559,113.8197,22.78356
560,113.82167,22.78105
561,113.82639,22.7783
562,113.83297,22.78168
563,113.82485,22.78231
564,113.82726,22.78196
565,113.82721,22.78289
566,113.82705,22.78382
567,113.83226,22.78591
568,113.82933,22.78538
569,113.8302,22.7868
570,113.82887,22.78684
571,113.82498,22.78717
572,113.82794,22.78665
573,113.83112,22.7838
574,113.82758,22.78497
575,113.82764,22.7831
576,113.82119,22.77885
577,113.82264,22.77743
578,113.832,22.77895
579,113.83582,22.77926
580,113.83373,22.78227
581,113.83391,22.7811
582,113.83394,22.77962
583,113.83493,22.77881
584,113.83535,22.78121
585,113.83453,22.77999
586,113.83517,22.78763
587,113.83728,22.78399
588,113.83507,22.78541
589,113.83929,22.7828
590,113.85056,22.7798
591,113.84267,22.78187
592,113.84347,22.78451
593,113.84324,22.78465
594,113.84347,22.7848
595,113.84376,22.78464
596,113.84303,22.78484
597,113.84309,22.78509
598,113.84343,22.78505
599,113.84362,22.78526
600,113.84324,22.78532
601,113.84333,22.78551
602,113.84343,22.7857
603,113.84509,22.7847
604,113.84579,22.78649
605,113.84115,22.78557
606,113.84278,22.78392
607,113.84244,22.78526
608,113.84305,22.78586
609,113.84295,22.78559
610,113.84342,22.78315
611,113.84344,22.77903
612,113.84308,22.78121
613,113.84376,22.78146
614,113.84913,22.78768
615,113.84914,22.78601
616,113.84828,22.78528
617,113.84928,22.78492
618,113.84933,22.78405
619,113.85137,22.78475
620,113.84953,22.78718
621,113.85031,22.7876
622,113.84953,22.78791
623,113.85599,22.78684
624,113.8578,22.78703
625,113.85793,22.78727
626,113.85799,22.78751
627,113.85822,22.78733
628,113.85753,22.78727
629,113.85769,22.7875
630,113.85769,22.78772
631,113.85799,22.7877
632,113.85794,22.78803
633,113.85242,22.7878
634,113.85375,22.7878
635,113.85409,22.78238
636,113.85332,22.78632
637,113.85556,22.78456
638,113.85599,22.78527
639,113.85895,22.78384
640,113.85729,22.78456
641,113.85804,22.78573
642,113.79515,22.76953
643,113.7965,22.7735
644,113.80032,22.77467
645,113.80206,22.76834
646,113.80614,22.76776
647,113.81051,22.77132
648,113.81136,22.77449
649,113.81225,22.77615
650,113.80612,22.77637
651,113.80356,22.77743
652,113.80437,22.77501
653,113.80602,22.774
654,113.80856,22.77242
655,113.80405,22.76792
656,113.80574,22.77188
657,113.80651,22.77283
658,113.80476,22.77338
659,113.81411,22.77514
660,113.81668,22.77771
661,113.81339,22.77495
662,113.81279,22.77546
663,113.81319,22.77638
664,113.81366,22.77572
665,113.81462,22.77635
666,113.81465,22.77533
667,113.81472,22.77513
668,113.81565,22.77524
669,113.81562,22.77561
670,113.8167,22.77793
671,113.81648,22.7779
672,113.81628,22.77674
673,113.81663,22.77737
674,113.81695,22.77745
675,113.81713,22.77646
676,113.81691,22.77545
677,113.82123,22.77488
678,113.8205,22.7774
679,113.81918,22.77595
680,113.82205,22.77613
681,113.81435,22.77005
682,113.81796,22.77311
683,113.81756,22.77028
684,113.8205,22.77051
685,113.82207,22.77214
686,113.81081,22.76835
687,113.82812,22.76957
688,113.83033,22.77105
689,113.82684,22.7725
690,113.83143,22.77594
691,113.82591,22.77509
692,113.8263,22.77611
